rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
71,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
70,100,400,8,8,,clustered,0.8;-0.3,33,15,4,29,0,-1,-5,-1,-1,-5,0,edgeCount
69,100,400,8,8,,clustered,0.8;-0.3,16,28,2,14,0,2,0,4,2,2,0,edgeCount
68,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
67,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
66,100,400,8,8,,clustered,0.8;-0.3,10,18,4,6,0,12,8,12,12,8,0,edgeCount
65,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
64,100,400,8,8,,clustered,0.8;-0.3,14,8,4,10,0,8,4,8,8,4,0,edgeCount
63,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
62,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
61,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
60,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
59,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
58,100,400,8,8,,clustered,0.8;-0.3,27,14,4,23,0,6,2,18,18,14,0,edgeCount
57,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
56,100,400,8,8,,clustered,0.8;-0.3,22,18,4,18,0,-1,-5,-1,-1,-5,0,edgeCount
55,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
54,100,400,8,8,,clustered,0.8;-0.3,46,10,4,42,0,-1,-5,-1,-1,-5,0,edgeCount
53,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
52,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
51,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
50,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
49,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
48,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
47,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
46,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
45,100,400,8,8,,clustered,0.8;-0.3,8,38,4,4,0,22,18,22,22,18,0,edgeCount
44,100,400,8,8,,clustered,0.8;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
43,100,400,8,8,,clustered,0.8;-0.3,25,25,3,22,0,3,0,3,3,0,0,edgeCount
42,100,400,8,8,,clustered,0.8;-0.3,4,4,4,0,0,30,26,10,10,6,0,edgeCount
41,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
40,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
39,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
38,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
37,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
36,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
35,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
34,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
33,100,400,8,8,,clustered,0.8;-0.3,43,7,3,40,0,3,0,3,3,0,0,edgeCount
32,100,400,8,8,,clustered,0.8;-0.3,8,3,3,5,0,3,0,5,5,2,0,edgeCount
31,100,400,8,8,,clustered,0.8;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
30,100,400,8,8,,clustered,0.8;-0.3,19,13,4,15,0,-1,-5,-1,-1,-5,0,edgeCount
29,100,400,8,8,,clustered,0.8;-0.3,8,62,4,4,0,18,14,18,18,14,0,edgeCount
28,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
27,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
26,100,400,8,8,,clustered,0.8;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
25,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
24,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
23,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
22,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
21,100,400,8,8,,clustered,0.8;-0.3,27,41,5,22,0,-1,-6,-1,-1,-6,0,edgeCount
20,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
19,100,400,8,8,,clustered,0.8;-0.3,33,17,5,28,0,-1,-6,-1,-1,-6,0,edgeCount
18,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
17,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
16,100,400,8,8,,clustered,0.8;-0.3,8,10,4,4,0,16,12,16,16,12,0,edgeCount
15,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
14,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
13,100,400,8,8,,clustered,0.8;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
12,100,400,8,8,,clustered,0.8;-0.3,62,56,4,58,0,-1,-5,-1,-1,-5,0,edgeCount
11,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
10,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
9,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
8,100,400,8,8,,clustered,0.8;-0.3,47,13,3,44,0,3,0,7,7,4,0,edgeCount
7,100,400,8,8,,clustered,0.8;-0.3,27,41,3,24,0,9,6,9,9,6,0,edgeCount
6,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
5,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
4,100,400,8,8,,clustered,0.8;-0.3,22,4,4,18,0,4,0,4,4,0,0,edgeCount
3,100,400,8,8,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
2,100,400,8,8,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
1,100,400,8,8,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
