rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
877,50,166,0.15,5,,clustered,0.6;-0.3,4,5,2,2,16,2,0,10,2,8,4,edgeCount
876,50,212,0.15,9,,clustered,0.6;-0.3,3,6,3,0,8,13,10,13,13,10,2,edgeCount
875,50,163,0.15,2,,clustered,0.6;-0.3,26,34,4,22,12,-1,-5,10,16,6,6,edgeCount
874,50,187,0.15,4,,clustered,0.6;-0.3,4,4,3,1,8,10,7,10,14,7,2,edgeCount
873,50,208,0.15,5,,clustered,0.6;-0.3,12,4,3,9,32,-1,-4,26,36,23,8,edgeCount
872,50,198,0.15,6,,clustered,0.6;-0.3,8,14,3,5,0,3,0,3,3,0,0,edgeCount
871,50,178,0.15,5,,clustered,0.6;-0.3,10,27,3,7,6,14,11,10,10,7,2,edgeCount
870,50,158,0.15,6,,clustered,0.6;-0.3,35,17,4,31,0,-1,-5,-1,-1,-5,0,edgeCount
869,50,177,0.15,5,,clustered,0.6;-0.3,13,23,5,8,0,-1,-6,-1,-1,-6,0,edgeCount
868,50,209,0.15,5,,clustered,0.6;-0.3,21,11,3,18,0,-1,-4,-1,-1,-4,0,edgeCount
867,50,184,0.15,10,,clustered,0.6;-0.3,26,2,2,24,0,2,0,14,2,12,0,edgeCount
866,50,161,0.15,6,,clustered,0.6;-0.3,11,7,3,8,0,5,2,9,9,6,0,edgeCount
865,50,185,0.15,6,,clustered,0.6;-0.3,6,6,3,3,0,5,2,7,9,4,0,edgeCount
864,50,185,0.15,7,,clustered,0.6;-0.3,25,3,2,23,0,2,0,3,2,1,0,edgeCount
863,50,199,0.15,3,,clustered,0.6;-0.3,25,25,4,21,6,-1,-5,17,17,13,2,edgeCount
862,50,186,0.15,8,,clustered,0.6;-0.3,3,15,3,0,28,11,8,9,11,6,10,edgeCount
861,50,187,0.15,8,,clustered,0.6;-0.3,4,10,3,1,0,7,4,9,9,6,0,edgeCount
860,50,184,0.15,6,,clustered,0.6;-0.3,22,9,4,18,44,-1,-5,34,34,30,12,edgeCount
859,50,202,0.15,6,,clustered,0.6;-0.3,4,4,3,1,30,5,2,3,5,0,8,edgeCount
858,50,201,0.15,4,,clustered,0.6;-0.3,9,10,3,6,0,10,7,16,16,13,0,edgeCount
857,50,210,0.15,5,,clustered,0.6;-0.3,43,27,4,39,58,-1,-5,18,20,14,12,edgeCount
856,50,180,0.15,6,,clustered,0.6;-0.3,11,7,3,8,6,-1,-4,-1,-1,-4,2,edgeCount
855,50,161,0.15,8,,clustered,0.6;-0.3,5,20,3,2,0,11,8,13,13,10,0,edgeCount
854,50,187,0.15,9,,clustered,0.6;-0.3,9,8,2,7,6,6,4,9,6,7,2,edgeCount
853,50,191,0.15,8,,clustered,0.6;-0.3,8,6,3,5,6,3,0,3,3,0,2,edgeCount
852,50,182,0.15,5,,clustered,0.6;-0.3,13,49,4,9,0,-1,-5,-1,-1,-5,0,edgeCount
851,50,183,0.15,6,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,50,172,0.15,4,,clustered,0.6;-0.3,9,9,4,5,12,15,11,15,19,11,4,edgeCount
849,50,192,0.15,7,,clustered,0.6;-0.3,3,3,2,1,34,2,0,3,2,1,10,edgeCount
