rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
859,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
858,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,20,-21,0,-1,-21,-1,-1,-21,0,edgeCount
857,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
856,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
855,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,65,29,19,46,0,-1,-20,-1,-1,-20,0,edgeCount
854,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
853,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
852,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
851,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,44,16,12,32,4,-1,-13,-1,-1,-13,4,edgeCount
850,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
849,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,11,-12,0,-1,-12,-1,-1,-12,0,edgeCount
848,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
847,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,6,-7,2,-1,-7,-1,-1,-7,2,edgeCount
845,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
844,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,12,17,8,4,2,22,14,22,22,14,2,edgeCount
843,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,5,-6,6,-1,-6,-1,-1,-6,6,edgeCount
842,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
841,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
840,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,7,19,3,4,4,3,0,3,3,0,4,edgeCount
839,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
838,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,19,29,5,14,0,5,0,5,5,0,0,edgeCount
837,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,17,17,9,8,0,17,8,17,17,8,0,edgeCount
836,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,9,9,9,0,2,9,0,9,9,0,2,edgeCount
835,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,19,-20,0,-1,-20,-1,-1,-20,0,edgeCount
834,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
833,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
832,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
831,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
830,113,161,graphml/Deltacom.graphml,4,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
829,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
828,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
827,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,37,13,11,26,4,-1,-12,-1,-1,-12,4,edgeCount
826,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,16,47,9,7,6,32,23,9,9,0,4,edgeCount
825,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,13,25,7,6,2,25,18,25,25,18,2,edgeCount
824,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
823,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
822,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,28,40,6,22,4,38,32,38,38,32,4,edgeCount
821,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,25,7,7,18,0,7,0,7,7,0,0,edgeCount
820,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,10,-11,4,-1,-11,-1,-1,-11,2,edgeCount
819,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
818,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,15,19,5,10,0,5,0,5,5,0,0,edgeCount
817,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
816,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,14,14,14,0,0,14,0,14,14,0,0,edgeCount
815,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
814,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,18,27,5,13,4,-1,-6,33,11,28,4,edgeCount
813,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,28,10,10,18,0,10,0,10,10,0,0,edgeCount
812,113,161,graphml/Deltacom.graphml,3,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
811,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,37,37,14,23,0,37,23,37,37,23,0,edgeCount
810,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,25,11,11,14,0,25,14,25,11,14,0,edgeCount
809,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
808,113,161,graphml/Deltacom.graphml,1,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
807,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
806,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,19,7,7,12,0,7,0,7,7,0,0,edgeCount
805,113,161,graphml/Deltacom.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
