rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
827,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
826,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,15,-16,2,-1,-16,-1,-1,-16,2,edgeCount
825,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,40,40,15,25,0,40,25,40,40,25,0,edgeCount
824,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
823,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
822,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
821,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,10,10,10,0,2,10,0,10,10,0,2,edgeCount
820,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,35,23,13,22,2,-1,-14,35,23,22,2,edgeCount
819,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
818,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,12,32,10,2,0,26,16,26,26,16,0,edgeCount
817,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
816,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
815,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
814,110,148,graphml/Interoute.graphml,3,,clustered,0.7;-0.3,-1,-1,13,-14,4,-1,-14,50,44,37,4,edgeCount
813,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
812,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
811,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,2,2,2,0,4,2,0,2,2,0,4,edgeCount
810,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,25,15,7,18,0,-1,-8,-1,-1,-8,0,edgeCount
809,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
808,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
807,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,7,8,5,2,0,9,4,9,9,4,0,edgeCount
806,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,11,-12,2,-1,-12,15,15,4,2,edgeCount
805,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
804,110,148,graphml/Interoute.graphml,1,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
803,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,18,-19,2,-1,-19,-1,-1,-19,2,edgeCount
802,110,148,graphml/Interoute.graphml,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
