rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
905,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,26,24,6,20,2,6,0,6,6,0,2,edgeCount
904,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
903,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,52,28,8,44,0,-1,-9,-1,-1,-9,0,edgeCount
902,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,21,21,13,8,2,-1,-14,21,21,8,2,edgeCount
901,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
900,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,55,17,17,38,0,-1,-18,-1,-1,-18,0,edgeCount
899,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,28,6,6,22,0,6,0,6,6,0,0,edgeCount
898,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,29,3,3,26,4,3,0,3,3,0,4,edgeCount
897,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,11,-12,2,-1,-12,-1,-1,-12,2,edgeCount
896,93,103,graphml/Oteglobe.graphml,3,,clustered,0.6;-0.3,7,7,5,2,0,7,2,7,7,2,0,edgeCount
895,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,12,12,12,0,2,-1,-13,12,12,0,2,edgeCount
894,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
893,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
892,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,32,32,12,20,2,30,18,32,32,20,2,edgeCount
891,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,4,4,4,0,4,4,0,4,4,0,4,edgeCount
890,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,7,7,5,2,0,7,2,7,7,2,0,edgeCount
889,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,8,19,8,0,0,12,4,12,12,4,0,edgeCount
888,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,6,6,2,2,-1,-7,8,6,2,2,edgeCount
887,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,6,2,2,4,0,2,0,6,2,4,0,edgeCount
886,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
885,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,37,37,17,20,0,37,20,37,37,20,0,edgeCount
884,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
883,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
882,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,33,33,15,18,2,-1,-16,33,33,18,2,edgeCount
881,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
880,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
879,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
878,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
877,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,17,17,4,13,0,17,13,17,17,13,0,edgeCount
876,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,9,29,9,0,2,9,0,9,29,0,2,edgeCount
875,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
874,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,13,13,11,2,0,13,2,13,13,2,0,edgeCount
873,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
871,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,10,10,8,2,0,10,2,10,10,2,0,edgeCount
870,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
869,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
868,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,23,23,15,8,0,23,8,23,23,8,0,edgeCount
867,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
866,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
865,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
864,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,12,12,12,0,2,-1,-13,12,12,0,2,edgeCount
863,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
862,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,29,37,8,21,2,-1,-9,9,9,1,2,edgeCount
861,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,24,10,8,16,0,24,16,24,10,16,0,edgeCount
860,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
859,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,9,9,4,5,0,9,5,9,9,5,0,edgeCount
858,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,27,27,9,18,0,27,18,27,27,18,0,edgeCount
857,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
856,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
855,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,8,-9,0,-1,-9,-1,-1,-9,0,edgeCount
854,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,4,4,4,0,2,4,0,4,4,0,2,edgeCount
853,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
852,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,12,32,12,0,0,32,20,32,32,20,0,edgeCount
851,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
849,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
848,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
847,93,103,graphml/Oteglobe.graphml,3,,clustered,0.6;-0.3,48,48,14,34,0,48,34,48,48,34,0,edgeCount
846,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,30,4,4,26,0,4,0,4,4,0,0,edgeCount
845,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
844,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,12,-13,0,-1,-13,-1,-1,-13,0,edgeCount
842,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
841,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
840,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,46,20,9,37,0,-1,-10,-1,-1,-10,0,edgeCount
839,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
838,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
837,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,6,-7,2,-1,-7,-1,-1,-7,2,edgeCount
836,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,7,7,6,1,2,7,1,7,7,1,2,edgeCount
835,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,12,70,10,2,2,22,12,22,22,12,2,edgeCount
834,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
833,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
832,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
831,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,29,7,7,22,4,7,0,11,7,4,4,edgeCount
830,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
829,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
828,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
827,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,4,4,4,0,2,4,0,4,4,0,2,edgeCount
826,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,44,30,9,35,0,-1,-10,-1,-1,-10,0,edgeCount
825,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
824,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
823,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
822,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
821,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
820,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
819,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
818,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
817,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,28,32,8,20,0,10,2,10,10,2,0,edgeCount
816,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
815,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,37,23,21,16,6,-1,-22,37,23,16,6,edgeCount
814,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
813,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,21,21,13,8,2,21,8,21,21,8,2,edgeCount
812,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
811,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
810,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,37,35,15,22,8,-1,-16,37,35,22,8,edgeCount
809,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,9,-10,2,-1,-10,-1,-1,-10,2,edgeCount
808,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
807,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,11,51,11,0,0,29,18,29,29,18,0,edgeCount
806,93,103,graphml/Oteglobe.graphml,1,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
805,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,11,11,7,4,2,-1,-8,11,11,4,2,edgeCount
804,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,27,27,13,14,0,27,14,27,27,14,0,edgeCount
803,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,18,10,9,9,2,-1,-10,-1,-1,-10,2,edgeCount
802,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
801,93,103,graphml/Oteglobe.graphml,2,,clustered,0.6;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
