rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
902,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
901,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,7,7,0,2,7,0,7,7,0,2,edgeCount
900,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,2,2,0,4,2,4,4,2,0,edgeCount
899,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
898,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
897,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
896,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
895,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
894,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,12,9,8,4,2,9,1,9,9,1,2,edgeCount
893,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
892,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
891,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,5,5,5,0,4,5,0,5,5,0,4,edgeCount
890,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,11,10,10,1,6,10,0,10,10,0,6,edgeCount
889,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
888,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
887,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
886,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
885,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
884,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,3,3,3,0,2,3,0,3,3,0,2,edgeCount
883,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,18,5,0,2,5,0,5,18,0,2,edgeCount
882,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,5,1,4,7,2,7,18,2,4,edgeCount
881,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
880,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
879,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
878,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
877,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
876,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,2,11,0,11,11,0,2,edgeCount
875,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
874,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
873,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
872,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,6,6,6,0,4,6,0,6,6,0,4,edgeCount
871,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,8,8,8,0,0,9,1,9,8,1,0,edgeCount
870,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,2,2,2,0,6,2,0,2,2,0,6,edgeCount
869,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,12,26,6,6,4,6,0,6,6,0,4,edgeCount
868,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,11,17,7,4,4,23,16,11,11,4,4,edgeCount
867,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
866,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,14,6,6,8,0,6,0,6,6,0,0,edgeCount
865,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,19,17,13,6,0,17,4,17,17,4,0,edgeCount
864,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,10,10,0,0,10,0,10,10,0,0,edgeCount
863,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
862,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,8,2,6,6,0,0,edgeCount
861,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,9,9,6,3,0,9,3,9,9,3,0,edgeCount
860,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
859,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,2,5,0,5,5,0,2,edgeCount
858,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
857,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
856,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,14,9,9,5,0,9,0,9,9,0,0,edgeCount
855,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,10,16,8,2,2,8,0,10,8,2,2,edgeCount
854,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,4,3,0,6,3,0,3,4,0,6,edgeCount
853,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,2,5,0,5,5,0,2,edgeCount
852,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
851,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
850,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
849,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,15,5,0,2,5,0,5,15,0,2,edgeCount
848,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
847,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,24,20,8,16,4,-1,-9,24,20,16,4,edgeCount
