rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
62,50,50,2,2,,clustered,0.7;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
61,50,50,2,2,,clustered,0.7;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
60,50,50,2,2,,clustered,0.7;-0.3,16,16,16,0,0,16,0,16,16,0,0,edgeCount
59,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
58,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
57,50,50,2,2,,clustered,0.7;-0.3,67,67,25,42,0,67,42,67,67,42,0,edgeCount
56,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
55,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
54,50,50,2,2,,clustered,0.7;-0.3,12,12,12,0,0,12,0,12,12,0,0,edgeCount
53,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
52,50,50,2,2,,clustered,0.7;-0.3,42,42,40,2,0,42,2,42,42,2,0,edgeCount
51,50,50,2,2,,clustered,0.7;-0.3,45,45,17,28,0,45,28,45,45,28,0,edgeCount
50,50,50,2,2,,clustered,0.7;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
49,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
48,50,50,2,2,,clustered,0.7;-0.3,66,66,30,36,0,66,36,66,66,36,0,edgeCount
47,50,50,2,2,,clustered,0.7;-0.3,55,55,43,12,0,55,12,55,55,12,0,edgeCount
46,50,50,2,2,,clustered,0.7;-0.3,45,45,43,2,0,45,2,45,45,2,0,edgeCount
45,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
44,50,50,2,2,,clustered,0.7;-0.3,47,47,27,20,0,47,20,47,47,20,0,edgeCount
43,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
42,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
41,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
40,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
39,50,50,2,2,,clustered,0.7;-0.3,68,68,30,38,0,68,38,68,68,38,0,edgeCount
38,50,50,2,2,,clustered,0.7;-0.3,15,15,15,0,0,15,0,15,15,0,0,edgeCount
37,50,50,2,2,,clustered,0.7;-0.3,56,56,40,16,0,56,16,56,56,16,0,edgeCount
36,50,50,2,2,,clustered,0.7;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
35,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
34,50,50,2,2,,clustered,0.7;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
33,50,50,2,2,,clustered,0.7;-0.3,20,20,20,0,0,20,0,20,20,0,0,edgeCount
32,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
31,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
30,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
29,50,50,2,2,,clustered,0.7;-0.3,42,42,30,12,0,42,12,42,42,12,0,edgeCount
28,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
27,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
26,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
25,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
24,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
23,50,50,2,2,,clustered,0.7;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
