rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
283,100,241,0.05,4,3,adversarial,0.86,2,2,4,-2,10,10,2,2,4
282,100,257,0.05,4,3,adversarial,0.34,3,3,4,-1,0,8,3,3,0
281,100,278,0.05,7,6,adversarial,0.56,3,3,4,-1,0,14,3,3,0
280,100,249,0.05,4,3,adversarial,0.69,3,3,4,-1,0,8,3,3,0
279,100,247,0.05,3,2,adversarial,0.88,3,5,4,-1,0,16,3,3,0
278,100,260,0.05,4,3,adversarial,0.58,3,9,3,0,18,11,3,3,8
277,100,255,0.05,2,1,adversarial,0.51,4,7,4,0,0,4,4,4,0
276,100,240,0.05,3,2,adversarial,0.89,3,3,5,-2,0,9,3,3,0
275,100,246,0.05,6,5,adversarial,0.63,3,3,3,0,10,3,3,3,4
274,100,248,0.05,4,3,adversarial,0.84,4,4,4,0,0,4,4,4,0
273,100,245,0.05,6,5,adversarial,0.82,3,3,4,-1,4,14,3,3,2
272,100,234,0.05,2,1,adversarial,0.39,4,9,4,0,8,4,4,4,4
271,100,260,0.05,4,3,adversarial,0.59,4,4,4,0,4,4,4,4,2
270,100,257,0.05,2,1,adversarial,0.85,5,5,5,0,0,5,5,5,0
269,100,239,0.05,1,0,adversarial,0.71,5,5,7,-2,4,8,5,5,4
268,100,278,0.05,5,4,adversarial,0.47,4,4,4,0,2,10,4,4,2
267,100,244,0.05,5,4,adversarial,0.75,3,3,3,0,14,3,3,3,6
266,100,231,0.05,4,3,adversarial,0.54,3,3,3,0,6,3,3,3,2
265,100,259,0.05,2,1,adversarial,0.49,4,5,4,0,4,4,4,4,2
264,100,243,0.05,3,2,adversarial,0.35,4,4,4,0,0,4,4,4,0
263,100,242,0.05,6,5,adversarial,0.62,3,3,3,0,0,7,3,3,0
262,100,248,0.05,2,1,adversarial,0.3,4,4,4,0,4,4,4,4,2
261,100,255,0.05,5,4,adversarial,0.71,3,3,3,0,0,7,3,3,0
260,100,244,0.05,2,1,adversarial,0.8,4,8,4,0,0,4,4,4,0
