rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
884,100,80,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
883,100,103,0.02,2,,clustered,0.5;-0.3,8,8,6,2,0,8,2,8,8,2,0,edgeCount
882,100,104,0.02,1,,clustered,0.5;-0.3,17,9,9,8,4,-1,-10,17,9,8,4,edgeCount
881,100,103,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
880,100,103,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
879,100,116,0.02,1,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
878,100,104,0.02,1,,clustered,0.5;-0.3,12,14,12,0,8,-1,-13,12,14,0,8,edgeCount
877,100,97,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
876,100,96,0.02,1,,clustered,0.5;-0.3,-1,-1,12,-13,8,-1,-13,-1,-1,-13,8,edgeCount
875,100,97,0.02,2,,clustered,0.5;-0.3,11,7,7,4,0,15,8,15,15,8,0,edgeCount
874,100,107,0.02,2,,clustered,0.5;-0.3,11,11,5,6,0,11,6,11,11,6,0,edgeCount
873,100,107,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,100,122,0.02,1,,clustered,0.5;-0.3,22,22,8,14,4,-1,-9,22,22,14,4,edgeCount
871,100,85,0.02,2,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
870,100,88,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
869,100,106,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
868,100,94,0.02,1,,clustered,0.5;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
867,100,112,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
866,100,91,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
865,100,114,0.02,2,,clustered,0.5;-0.3,31,11,7,24,2,-1,-8,27,27,20,2,edgeCount
864,100,111,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
863,100,95,0.02,1,,clustered,0.5;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
862,100,113,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
861,100,112,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
860,100,111,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
859,100,97,0.02,2,,clustered,0.5;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
858,100,115,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
857,100,104,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
856,100,102,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
855,100,93,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
854,100,99,0.02,2,,clustered,0.5;-0.3,11,3,3,8,2,3,0,3,3,0,2,edgeCount
853,100,96,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
852,100,102,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
851,100,117,0.02,2,,clustered,0.5;-0.3,6,22,6,0,2,12,6,12,12,6,2,edgeCount
850,100,101,0.02,2,,clustered,0.5;-0.3,7,7,5,2,0,7,2,7,7,2,0,edgeCount
849,100,112,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
848,100,110,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
847,100,88,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,100,107,0.02,3,,clustered,0.5;-0.3,29,29,9,20,0,29,20,29,29,20,0,edgeCount
845,100,94,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
844,100,86,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
843,100,85,0.02,1,,clustered,0.5;-0.3,-1,-1,15,-16,2,-1,-16,-1,-1,-16,2,edgeCount
842,100,98,0.02,1,,clustered,0.5;-0.3,13,11,11,2,4,-1,-12,13,11,2,4,edgeCount
841,100,101,0.02,3,,clustered,0.5;-0.3,6,34,6,0,0,14,8,14,14,8,0,edgeCount
840,100,108,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
839,100,97,0.02,2,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
838,100,98,0.02,1,,clustered,0.5;-0.3,8,8,8,0,2,8,0,8,8,0,2,edgeCount
837,100,92,0.02,1,,clustered,0.5;-0.3,10,10,8,2,4,-1,-9,10,10,2,4,edgeCount
836,100,103,0.02,1,,clustered,0.5;-0.3,5,5,5,0,2,5,0,5,5,0,2,edgeCount
835,100,92,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
834,100,92,0.02,2,,clustered,0.5;-0.3,10,22,8,2,0,14,6,14,14,6,0,edgeCount
