rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
795,50,162,0.15,7,,clustered,0.7;-0.3,2,2,2,0,0,2,0,4,2,2,0,edgeCount
794,50,184,0.15,6,,clustered,0.7;-0.3,13,4,3,10,0,9,6,9,9,6,0,edgeCount
793,50,165,0.15,7,,clustered,0.7;-0.3,12,12,3,9,8,9,6,9,9,6,4,edgeCount
790,50,192,0.15,6,,clustered,0.7;-0.3,7,3,3,4,0,5,2,3,5,0,0,edgeCount
789,50,167,0.15,8,,clustered,0.7;-0.3,-1,-1,4,-5,14,-1,-5,-1,-1,-5,4,edgeCount
788,50,194,0.15,6,,clustered,0.7;-0.3,29,3,3,26,0,5,2,3,5,0,0,edgeCount
787,50,183,0.15,7,,clustered,0.7;-0.3,29,15,3,26,38,-1,-4,-1,-1,-4,10,edgeCount
785,50,178,0.15,5,,clustered,0.7;-0.3,19,3,3,16,0,-1,-4,-1,-1,-4,0,edgeCount
783,50,202,0.15,5,,clustered,0.7;-0.3,11,9,3,8,0,3,0,3,3,0,0,edgeCount
782,50,183,0.15,3,,clustered,0.7;-0.3,8,10,4,4,12,-1,-5,-1,-1,-5,4,edgeCount
781,50,194,0.15,8,,clustered,0.7;-0.3,3,15,3,0,0,7,4,7,7,4,0,edgeCount
780,50,189,0.15,4,,clustered,0.7;-0.3,3,10,3,0,0,3,0,3,3,0,0,edgeCount
779,50,198,0.15,8,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
778,50,182,0.15,4,,clustered,0.7;-0.3,16,6,4,12,30,-1,-5,-1,-1,-5,8,edgeCount
777,50,187,0.15,6,,clustered,0.7;-0.3,15,15,4,11,0,-1,-5,-1,-1,-5,0,edgeCount
776,50,176,0.15,5,,clustered,0.7;-0.3,4,46,4,0,8,8,4,14,12,10,2,edgeCount
775,50,187,0.15,3,,clustered,0.7;-0.3,4,18,3,1,24,3,0,3,13,0,8,edgeCount
774,50,166,0.15,4,,clustered,0.7;-0.3,10,4,2,8,0,2,0,2,2,0,0,edgeCount
773,50,184,0.15,5,,clustered,0.7;-0.3,10,10,2,8,4,4,2,6,4,4,2,edgeCount
771,50,164,0.15,7,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
770,50,179,0.15,4,,clustered,0.7;-0.3,10,20,4,6,8,-1,-5,-1,-1,-5,2,edgeCount
769,50,212,0.15,8,,clustered,0.7;-0.3,46,38,4,42,8,-1,-5,24,24,20,2,edgeCount
768,50,177,0.15,4,,clustered,0.7;-0.3,3,11,2,1,50,4,2,8,4,6,14,edgeCount
767,50,177,0.15,7,,clustered,0.7;-0.3,6,20,3,3,0,12,9,12,12,9,0,edgeCount
766,50,198,0.15,5,,clustered,0.7;-0.3,4,14,2,2,46,2,0,8,2,6,12,edgeCount
765,50,182,0.15,7,,clustered,0.7;-0.3,-1,-1,4,-5,8,-1,-5,-1,-1,-5,2,edgeCount
764,50,191,0.15,7,,clustered,0.7;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
763,50,191,0.15,5,,clustered,0.7;-0.3,3,3,3,0,8,3,0,3,3,0,2,edgeCount
762,50,190,0.15,5,,clustered,0.7;-0.3,5,19,5,0,0,23,18,23,23,18,0,edgeCount
760,50,176,0.15,7,,clustered,0.7;-0.3,55,37,3,52,0,-1,-4,-1,-1,-4,0,edgeCount
759,50,204,0.15,8,,clustered,0.7;-0.3,23,8,3,20,0,11,8,17,17,14,0,edgeCount
757,50,188,0.15,4,,clustered,0.7;-0.3,12,20,2,10,16,2,0,6,2,4,4,edgeCount
756,50,164,0.15,8,,clustered,0.7;-0.3,3,3,3,0,4,5,2,5,5,2,2,edgeCount
755,50,188,0.15,5,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
754,50,179,0.15,5,,clustered,0.7;-0.3,7,5,3,4,0,11,8,3,3,0,0,edgeCount
