rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
874,100,266,0.05,5,4,clustered,0.5;-0.15,14,14,5,9,26,-1,-6,17,25,12,8,shortest
873,100,253,0.05,7,6,clustered,0.5;-0.15,3,3,3,0,0,9,6,3,3,0,0,shortest
872,100,239,0.05,1,0,clustered,0.5;-0.15,4,4,4,0,0,4,0,4,4,0,0,shortest
871,100,235,0.05,5,4,clustered,0.5;-0.15,2,2,2,0,12,2,0,2,2,0,6,shortest
870,100,224,0.05,2,1,clustered,0.5;-0.15,3,3,3,0,8,3,0,3,3,0,4,shortest
869,100,253,0.05,4,3,clustered,0.5;-0.15,23,23,3,20,0,9,6,9,9,6,0,shortest
867,100,254,0.05,3,2,clustered,0.5;-0.15,8,20,4,4,10,4,0,4,4,0,4,shortest
866,100,251,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,12,-1,-7,-1,-1,-7,6,shortest
863,100,247,0.05,4,3,clustered,0.5;-0.15,7,14,5,2,12,-1,-6,7,13,2,4,shortest
862,100,257,0.05,6,5,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
861,100,219,0.05,4,3,clustered,0.5;-0.15,4,4,4,0,8,4,0,4,4,0,4,shortest
860,100,221,0.05,5,4,clustered,0.5;-0.15,27,27,5,22,0,-1,-6,-1,-1,-6,0,shortest
858,100,258,0.05,6,5,clustered,0.5;-0.15,-1,-1,7,-8,6,-1,-8,-1,-1,-8,2,shortest
856,100,223,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
854,100,256,0.05,3,2,clustered,0.5;-0.15,58,56,5,53,26,-1,-6,26,24,21,10,shortest
853,100,245,0.05,3,2,clustered,0.5;-0.15,9,11,5,4,0,-1,-6,-1,-1,-6,0,shortest
852,100,242,0.05,5,4,clustered,0.5;-0.15,19,19,5,14,0,19,14,19,19,14,0,shortest
