rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
799,50,182,0.15,5,,clustered,0.9;-0.3,-1,-1,5,-6,24,-1,-6,-1,-1,-6,6,edgeCount
798,50,177,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
797,50,169,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
796,50,182,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,2,edgeCount
795,50,176,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,24,-1,0,-1,-1,0,8,edgeCount
794,50,196,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
793,50,206,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
792,50,169,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,24,-1,0,-1,-1,0,8,edgeCount
791,50,187,0.15,8,,clustered,0.9;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
790,50,165,0.15,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
789,50,177,0.15,7,,clustered,0.9;-0.3,-1,-1,7,-8,8,-1,-8,-1,-1,-8,2,edgeCount
788,50,162,0.15,6,,clustered,0.9;-0.3,-1,-1,6,-7,16,-1,-7,-1,-1,-7,4,edgeCount
787,50,195,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,22,-1,0,-1,-1,0,6,edgeCount
786,50,193,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,26,-1,0,-1,-1,0,6,edgeCount
785,50,178,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,16,-1,0,-1,-1,0,4,edgeCount
784,50,185,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
783,50,194,0.15,5,,clustered,0.9;-0.3,5,5,3,2,40,5,2,3,5,0,12,edgeCount
782,50,187,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
781,50,196,0.15,6,,clustered,0.9;-0.3,-1,-1,-1,0,26,-1,0,-1,-1,0,6,edgeCount
780,50,197,0.15,7,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
779,50,195,0.15,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
778,50,186,0.15,4,,clustered,0.9;-0.3,-1,-1,-1,0,10,-1,0,-1,-1,0,4,edgeCount
