rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
848,25,56,graphml/AttMpls.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
847,25,56,graphml/AttMpls.graphml,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,25,56,graphml/AttMpls.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
845,25,56,graphml/AttMpls.graphml,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
844,25,56,graphml/AttMpls.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
843,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
842,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
841,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,4,edgeCount
840,25,56,graphml/AttMpls.graphml,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
839,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
838,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,26,-1,0,-1,-1,0,16,edgeCount
837,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
836,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,4,edgeCount
835,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,6,10,4,2,6,-1,-5,-1,-1,-5,4,edgeCount
834,25,56,graphml/AttMpls.graphml,4,,clustered,0.9;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
833,25,56,graphml/AttMpls.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,20,-1,0,-1,-1,0,12,edgeCount
832,25,56,graphml/AttMpls.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
831,25,56,graphml/AttMpls.graphml,5,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
830,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
829,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,8,edgeCount
828,25,56,graphml/AttMpls.graphml,4,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
827,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
826,25,56,graphml/AttMpls.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
